710;김구빈;3;2023;11;22;2023;11;26;360;0;false
709;a;4;2023;11;22;2023;11;25;270;0;false
201;Kang;2;2023;11;22;2023;11;25;150;0;false
1005;kang;4;2023;12;25;2023;12;27;240;0;false
1005;kang;3;2023;12;25;2023;12;27;240;0;false
1005;kang;2;2023;12;25;2023;12;27;240;0;false
101;a;1;2023;11;22;2023;11;25;150;0;false
104;c;1;2023;11;22;2023;11;25;150;0;false
104;b;1;2023;11;22;2023;11;25;150;0;false
104;a;1;2023;11;22;2023;11;25;150;0;false
103;1;1;2023;11;22;2023;11;25;150;0;false
1009;b;3;2023;11;25;2023;11;30;600;0;false
1009;a;3;2023;11;25;2023;11;26;120;0;false
1009;a;1;2023;11;24;2023;11;26;240;0;false
102;kang1;1;2023;11;22;2023;11;25;150;0;false
209;kang6;1;2023;11;22;2023;11;25;150;0;false
209;kang5;1;2023;11;22;2023;11;25;150;0;false
209;kang4;1;2023;11;22;2023;11;25;150;0;false
209;kang3;1;2023;11;22;2023;11;25;150;0;false
209;kang2;1;2023;11;22;2023;11;25;150;0;false
209;kang2;1;2023;11;22;2023;11;25;150;0;false
802;Kang;3;2023;11;24;2023;11;25;90;0;false
802;a;2;2023;11;23;2023;11;25;180;0;false
1010;강순우;4;2023;11;22;2023;11;24;240;0;false
1010;강순우;5;2023;11;22;2023;11;24;240;0;false
1010;강순우;4;2023;11;22;2023;11;24;240;0;false
1010;강순우;3;2023;11;22;2023;11;24;240;0;false
1010;강순우;2;2023;11;22;2023;11;24;240;0;false
1010;강순우;1;2023;11;22;2023;11;24;240;0;false
108;1;1;2023;11;22;2023;11;25;150;0;false
901;6;4;2023;11;22;2023;11;25;360;0;false
901;6;5;2023;11;22;2023;11;25;360;0;false
901;6;4;2023;11;22;2023;11;25;360;0;false
901;6;3;2023;11;22;2023;11;25;360;0;false
901;6;2;2023;11;22;2023;11;25;360;0;false
801;7;2;2023;11;24;2023;12;7;1170;0;false
801;7;5;2023;11;24;2023;12;7;1170;0;false
801;7;4;2023;11;24;2023;12;7;1170;0;false
801;7;1;2023;11;24;2023;12;7;1170;0;false
703;강순우;3;2023;11;25;2023;11;27;180;0;false
